value,label
0,SAMD11
1,NOC2L
2,KLHL17
3,PLEKHN1
4,PERM1
5,HES4
6,ISG15
7,AGRN
8,RNF223
9,C1orf159
10,TTLL10
11,TNFRSF18
12,TNFRSF4
13,SDF4
14,B3GALT6
15,C1QTNF12
16,UBE2J2
17,SCNN1D
18,ACAP3
19,PUSL1
20,INTS11
21,CPTP
22,TAS1R3
23,DVL1
24,MXRA8
25,AURKAIP1
26,CCNL2
27,ANKRD65
28,TMEM88B
29,VWA1
30,ATAD3C
31,TMEM240
32,SSU72
33,FNDC10
34,MIB2
35,MMP23B
36,CDK11B
37,SLC35E2B
38,SLC35E2A
39,NADK
40,GNB1
41,CALML6
42,TMEM52
43,CFAP74
44,GABRD
45,PRKCZ
46,FAAP20
47,SKI
48,MORN1
49,RER1
50,PEX10
51,PLCH2
52,PANK4
53,HES5
54,TNFRSF14
55,PRXL2B
56,MMEL1
57,TTC34
58,ACTRT2
59,PRDM16
60,ARHGEF16
61,MEGF6
62,TPRG1L
63,WRAP73
64,TP73
65,CCDC27
66,SMIM1
67,LRRC47
68,CEP104
69,DFFB
70,C1orf174
71,AJAP1
72,NPHP4
73,KCNAB2
74,CHD5
75,RNF207
76,ICMT
77,HES3
78,GPR153
79,ACOT7
80,HES2
81,ESPN
82,TNFRSF25
83,PLEKHG5
84,NOL9
85,TAS1R1
86,ZBTB48
87,KLHL21
88,PHF13
89,THAP3
90,DNAJC11
91,CAMTA1
92,VAMP3
93,PER3
94,UTS2
95,TNFRSF9
96,PARK7
97,ERRFI1
98,SLC45A1
99,RERE
100,ENO1
101,CA6
102,SLC2A7
103,SLC2A5
104,GPR157
105,H6PD
106,SPSB1
107,SLC25A33
108,TMEM201
109,PIK3CD
110,CLSTN1
111,CTNNBIP1
112,LZIC
113,NMNAT1
114,RBP7
115,UBE4B
116,KIF1B
117,PGD
118,CENPS
119,CORT
120,DFFA
121,PEX14
122,CASZ1
123,C1orf127
124,MASP2
125,SRM
126,EXOSC10
127,MTOR
128,ANGPTL7
129,UBIAD1
130,DISP3
131,FBXO2
132,FBXO44
133,FBXO6
134,MAD2L2
135,AGTRAP
136,C1orf167
137,MTHFR
138,CLCN6
139,NPPA
140,NPPB
141,PLOD1
142,MFN2
143,MIIP
144,TNFRSF8
145,TNFRSF1B
146,VPS13D
147,DHRS3
148,AADACL4
149,AADACL3
150,C1orf158
151,PRAMEF12
152,HNRNPCL1
153,PRAMEF2
154,PRAMEF4
155,PRAMEF27
156,HNRNPCL3
157,PRAMEF33
158,PRAMEF19
159,PRAMEF17
160,PRAMEF20
161,LRRC38
162,PDPN
163,PRDM2
164,KAZN
165,TMEM51
166,FHAD1
167,EFHD2
168,CTRC
169,CELA2B
170,CASP9
171,DNAJC16
172,AGMAT
173,DDI2
174,PLEKHM2
175,SLC25A34
176,TMEM82
177,FBLIM1
178,UQCRHL
179,SPEN
180,ZBTB17
181,SRARP
182,HSPB7
183,CLCNKA
184,CLCNKB
185,FAM131C
186,EPHA2
187,ARHGEF19
188,CPLANE2
189,FBXO42
190,SZRD1
191,SPATA21
192,NECAP2
193,NBPF1
194,CROCC
195,MFAP2
196,ATP13A2
197,SDHB
198,PADI2
199,PADI1
200,PADI3
201,PADI4
202,PADI6
203,RCC2
204,ARHGEF10L
205,ACTL8
206,IGSF21
207,KLHDC7A
208,PAX7
209,TAS1R2
210,ALDH4A1
211,IFFO2
212,UBR4
213,EMC1
214,MRTO4
215,AKR7A3
216,SLC66A1
217,CAPZB
218,MICOS10
219,NBL1
220,HTR6
221,TMCO4
222,RNF186
223,OTUD3
224,PLA2G2E
225,PLA2G2A
226,PLA2G5
227,PLA2G2D
228,PLA2G2F
229,PLA2G2C
230,UBXN10
231,VWA5B1
232,CAMK2N1
233,MUL1
234,FAM43B
235,CDA
236,PINK1
237,DDOST
238,KIF17
239,SH2D5
240,HP1BP3
241,EIF4G3
242,ECE1
243,ALPL
244,RAP1GAP
245,USP48
246,LDLRAD2
247,HSPG2
248,CELA3A
249,WNT4
250,ZBTB40
251,EPHA8
252,C1QA
253,C1QC
254,C1QB
255,EPHB2
256,LACTBL1
257,TEX46
258,KDM1A
259,LUZP1
260,HTR1D
261,HNRNPR
262,ZNF436
263,TCEA3
264,ASAP3
265,E2F2
266,ID3
267,ELOA
268,PITHD1
269,LYPLA2
270,GALE
271,HMGCL
272,CNR2
273,PNRC2
274,SRSF10
275,MYOM3
276,IL22RA1
277,IFNLR1
278,GRHL3
279,STPG1
280,NIPAL3
