"X","Y"
16265,19934
18526,7893
7178,18782
14487,6446
15497,7025
14237,9202
16762,11230
20049,17175
12973,7898
12477,16601
20551,13693
20300,15289
14999,14858
14993,7896
6163,12110
10954,7319
19288,12969
9698,14138
9693,8916
16508,9055
6163,12691
12973,7317
14750,18775
14246,19066
7177,17912
15504,15148
20049,17755
14745,13263
17023,19788
7674,8628
6923,15156
16002,7605
11968,12540
12221,13555
7177,17621
10207,18779
17518,9634
15499,9926
10705,11236
19033,10503
10955,8770
16517,18628
5912,14576
14993,8186
18528,9633
7427,14865
10956,9640
16015,21530
10460,19504
19792,12678
12722,8623
7170,9498
7423,10804
20548,11372
13741,19066
5661,15302
9699,15298
15255,18485
6670,14431
19292,17030
17271,15001
7683,18491
17019,15727
7425,12834
9700,16169
8694,20231
20550,12823
9446,14573
17274,18773
16264,18484
15500,10796
15753,11231
9695,10947
5915,17187
12728,15876
15510,21530
17522,13986
13229,11524
18788,18481
12478,18632
17015,11085
7679,14720
8689,14719
10955,9060
18783,12969
12728,15005
10451,9060
12476,16311
13480,9348
12729,16746
10206,18199
18533,15726
17018,15147
16014,20660
20552,15724
18023,10214
16261,15002
12476,15731
18029,16886
10706,12106
13490,20952
10458,17764
9695,10657
11210,11816
10207,18489
18779,8908
9953,16894
14750,18485
8434,11963
11965,9639
15003,19790
13984,8767
19287,12099
14751,20226
16003,9055
16767,16743
18030,17467
8189,20232
15247,10071
20804,15288
12723,9493
16762,10650
20548,10502
16763,11811
15759,17614
5657,11240
16014,20950
10460,19794
12721,8333
17275,19353
6920,11965
13486,16600
14248,21677
5659,13851
20554,17174
16759,7459
10209,21100
13225,6592
11721,18488
16506,7314
15751,9491
14748,16454
9444,11962
9450,18635
9956,19795
9950,13703
8441,19216
11206,7464
8433,10223
17518,9054
13735,12394
16513,14277
9449,18345
20298,13548
20300,16159
16008,14277
15001,17179
6925,18347
6418,14866
16263,17033
14749,17325
11718,15587
9189,9497
11208,8915
16010,16018
10957,10510
19040,17756
14748,16164
14236,8042
12723,9784
18023,9634
16517,19209
10710,17038
9697,13268
14750,18195
7174,14430
9696,12397
8433,10803
9948,11382
13995,21242
11466,15442
10456,15443
16763,12101
16760,8619
5407,13417
6164,13561
18537,19497
6167,16752
16510,10796
15244,7170
8941,14284
11711,6883
17522,13406
14246,19936
14241,14134
13985,10508
15001,16889
5914,16027
13742,20227
